dayOfYear,dN,datetime
32,0.66667,2020-02-01
33,0.33333,2020-02-02
34,0.0,2020-02-03
35,0.0,2020-02-04
36,0.0,2020-02-05
37,0.0,2020-02-06
38,0.0,2020-02-07
39,1.66667,2020-02-08
40,1.66667,2020-02-09
41,1.66667,2020-02-10
42,0.0,2020-02-11
43,0.0,2020-02-12
44,0.0,2020-02-13
45,0.0,2020-02-14
46,0.0,2020-02-15
47,0.0,2020-02-16
48,0.33333,2020-02-17
49,0.33333,2020-02-18
50,0.33333,2020-02-19
51,0.0,2020-02-20
52,0.0,2020-02-21
53,0.0,2020-02-22
54,0.0,2020-02-23
55,0.0,2020-02-24
56,0.0,2020-02-25
57,0.66667,2020-02-26
58,1.66667,2020-02-27
59,8.66667,2020-02-28
60,14.333329999999998,2020-02-29
61,27.66667,2020-03-01
62,30.66667,2020-03-02
63,40.33333,2020-03-03
64,37.33333,2020-03-04
65,51.66667,2020-03-05
66,81.66667,2020-03-06
67,133.66666999999998,2020-03-07
68,143.66666999999998,2020-03-08
69,234.33333,2020-03-09
70,266.33333,2020-03-10
71,356.0,2020-03-11
72,385.0,2020-03-12
73,488.0,2020-03-13
74,625.6666700000001,2020-03-14
75,739.3333299999999,2020-03-15
76,849.0,2020-03-16
77,990.66667,2020-03-17
78,1077.0,2020-03-18
79,1237.0,2020-03-19
80,1454.0,2020-03-20
81,1627.3333300000002,2020-03-21
82,1775.0,2020-03-22
83,1674.3333300000002,2020-03-23
84,2414.66667,2020-03-24
85,2614.33333,2020-03-25
86,3071.66667,2020-03-26
87,3099.66667,2020-03-27
88,3554.0,2020-03-28
89,4114.0,2020-03-29
90,3673.0,2020-03-30
91,3862.0,2020-03-31
92,4851.0,2020-04-01
93,5605.0,2020-04-02
94,4851.6666700000005,2020-04-03
95,4070.0,2020-04-04
96,3872.0,2020-04-05
97,3791.0,2020-04-06
98,3350.66667,2020-04-07
99,3187.33333,2020-04-08
100,3856.6666700000005,2020-04-09
101,3981.3333299999995,2020-04-10
102,4169.6666700000005,2020-04-11
103,3914.0,2020-04-12
104,3023.0,2020-04-13
105,2466.66667,2020-04-14
106,3261.0,2020-04-15
107,3601.0,2020-04-16
108,3590.3333299999995,2020-04-17
109,1893.0,2020-04-18
110,1871.6666699999998,2020-04-19
111,1253.0,2020-04-20
112,1801.6666699999998,2020-04-21
113,1834.3333300000002,2020-04-22
114,2181.66667,2020-04-23
115,2049.0,2020-04-24
116,1751.0,2020-04-25
117,1654.3333300000002,2020-04-26
118,1257.0,2020-04-27
119,1064.3333300000002,2020-04-28
120,907.0,2020-04-29
121,1289.0,2020-04-30
122,1270.3333300000002,2020-05-01
123,1116.6666699999998,2020-05-02
124,845.66667,2020-05-03
125,568.6666700000001,2020-05-04
126,559.3333299999999,2020-05-05
127,662.6666700000001,2020-05-06
128,1954.3333300000002,2020-05-07
129,1972.0,2020-05-08
130,1818.0,2020-05-09
131,568.0,2020-05-10
132,428.0,2020-05-11
133,366.0,2020-05-12
134,457.66667,2020-05-13
135,557.0,2020-05-14
136,612.3333299999999,2020-05-15
137,564.0,2020-05-16
138,519.0,2020-05-17
139,351.66667,2020-05-18
140,328.0,2020-05-19
141,378.66667,2020-05-20
142,478.0,2020-05-21
143,420.0,2020-05-22
144,379.66667,2020-05-23
145,320.33333,2020-05-24
146,252.66667,2020-05-25
147,237.66667,2020-05-26
148,249.66667,2020-05-27
149,275.0,2020-05-28
150,1264.0,2020-05-29
151,1371.0,2020-05-30
152,1916.6666699999998,2020-05-31
153,894.0,2020-06-01
154,807.6666700000001,2020-06-02
155,-57.0,2020-06-03
156,-25.33333,2020-06-04
157,117.66667,2020-06-05
158,576.6666700000001,2020-06-06
159,652.3333299999999,2020-06-07
160,511.0,2020-06-08
161,377.66667,2020-06-09
162,319.0,2020-06-10
163,386.33333,2020-06-11
164,457.66667,2020-06-12
165,565.3333299999999,2020-06-13
166,559.0,2020-06-14
167,553.0,2020-06-15
168,361.66667,2020-06-16
169,301.0,2020-06-17
170,318.0,2020-06-18
171,423.0,2020-06-19
172,578.6666700000001,2020-06-20
173,639.6666700000001,2020-06-21
174,578.6666700000001,2020-06-22
175,432.66667,2020-06-23
176,391.33333,2020-06-24
177,323.66667,2020-06-25
178,199.33333000000002,2020-06-26
179,556.3333299999999,2020-06-27
180,529.3333299999999,2020-06-28
181,529.3333299999999,2020-06-29
182,441.33333,2020-06-30
