dayOfYear,dN,datetime
32,0.66667,2020-02-01
33,0.66667,2020-02-02
34,0.0,2020-02-03
35,0.0,2020-02-04
36,0.0,2020-02-05
37,0.0,2020-02-06
38,0.33333,2020-02-07
39,0.33333,2020-02-08
40,0.66667,2020-02-09
41,0.33333,2020-02-10
42,1.66667,2020-02-11
43,1.33333,2020-02-12
44,1.66667,2020-02-13
45,0.33333,2020-02-14
46,0.33333,2020-02-15
47,0.0,2020-02-16
48,0.0,2020-02-17
49,0.0,2020-02-18
50,0.0,2020-02-19
51,0.0,2020-02-20
52,0.0,2020-02-21
53,0.0,2020-02-22
54,0.0,2020-02-23
55,1.33333,2020-02-24
56,1.33333,2020-02-25
57,1.33333,2020-02-26
58,0.0,2020-02-27
59,1.0,2020-02-28
60,1.66667,2020-02-29
61,3.33333,2020-03-01
62,6.66667,2020-03-02
63,7.33333,2020-03-03
64,9.33333,2020-03-04
65,16.33333,2020-03-05
66,25.0,2020-03-06
67,37.33333,2020-03-07
68,40.33333,2020-03-08
69,52.666669999999996,2020-03-09
70,52.666669999999996,2020-03-10
71,55.666669999999996,2020-03-11
72,61.0,2020-03-12
73,89.66667,2020-03-13
74,111.33333,2020-03-14
75,228.0,2020-03-15
76,267.0,2020-03-16
77,278.66667,2020-03-17
78,270.0,2020-03-18
79,413.0,2020-03-19
80,578.0,2020-03-20
81,677.6666700000001,2020-03-21
82,796.0,2020-03-22
83,802.0,2020-03-23
84,889.0,2020-03-24
85,1019.66667,2020-03-25
86,1282.0,2020-03-26
87,1669.3333300000002,2020-03-27
88,2155.33333,2020-03-28
89,2520.0,2020-03-29
90,2621.33333,2020-03-30
91,2532.66667,2020-03-31
92,2687.0,2020-04-01
93,3317.33333,2020-04-02
94,3859.0,2020-04-03
95,4339.3333299999995,2020-04-04
96,4143.0,2020-04-05
97,4696.0,2020-04-06
98,4480.0,2020-04-07
99,4446.3333299999995,2020-04-08
100,4309.0,2020-04-09
101,4489.6666700000005,2020-04-10
102,5010.0,2020-04-11
103,6086.0,2020-04-12
104,6400.6666700000005,2020-04-13
105,6116.3333299999995,2020-04-14
106,4960.6666700000005,2020-04-15
107,4732.3333299999995,2020-04-16
108,4824.0,2020-04-17
109,4939.6666700000005,2020-04-18
110,5247.0,2020-04-19
111,5658.0,2020-04-20
112,5350.3333299999995,2020-04-21
113,4942.3333299999995,2020-04-22
114,4476.0,2020-04-23
115,4445.0,2020-04-24
116,4806.6666700000005,2020-04-25
117,4960.6666700000005,2020-04-26
118,4920.6666700000005,2020-04-27
119,4561.6666700000005,2020-04-28
120,4256.0,2020-04-29
121,4127.0,2020-04-30
122,4701.3333299999995,2020-05-01
123,5436.3333299999995,2020-05-02
124,5679.6666700000005,2020-05-03
125,5115.3333299999995,2020-05-04
126,4376.6666700000005,2020-05-05
127,4243.3333299999995,2020-05-06
128,4867.3333299999995,2020-05-07
129,5377.0,2020-05-08
130,5458.0,2020-05-09
131,4686.3333299999995,2020-05-10
132,4156.0,2020-05-11
133,3898.6666700000005,2020-05-12
134,3734.3333299999995,2020-05-13
135,3507.3333299999995,2020-05-14
136,3363.6666700000005,2020-05-15
137,3416.0,2020-05-16
138,3485.3333299999995,2020-05-17
139,3514.6666700000005,2020-05-18
140,3231.66667,2020-05-19
141,2885.66667,2020-05-20
142,1532.6666699999998,2020-05-21
143,1500.6666699999998,2020-05-22
144,1792.3333300000002,2020-05-23
145,2953.66667,2020-05-24
146,2883.66667,2020-05-25
147,2329.66667,2020-05-26
148,2691.0,2020-05-27
149,2560.33333,2020-05-28
150,2647.66667,2020-05-29
151,1998.3333300000002,2020-05-30
152,1862.0,2020-05-31
153,1878.3333300000002,2020-06-01
154,1703.3333300000002,2020-06-02
155,1719.6666699999998,2020-06-03
156,1698.0,2020-06-04
157,1776.3333300000002,2020-06-05
158,1775.3333300000002,2020-06-06
159,1670.6666699999998,2020-06-07
160,1511.0,2020-06-08
161,1362.6666699999998,2020-06-09
162,1424.0,2020-06-10
163,1316.3333300000002,2020-06-11
164,1336.6666699999998,2020-06-12
165,1270.0,2020-06-13
166,1410.6666699999998,2020-06-14
167,1493.3333300000002,2020-06-15
168,1302.3333300000002,2020-06-16
169,1253.6666699999998,2020-06-17
170,1120.6666699999998,2020-06-18
171,1204.0,2020-06-19
172,1226.3333300000002,2020-06-20
173,1286.3333300000002,2020-06-21
174,1287.3333300000002,2020-06-22
175,1158.0,2020-06-23
176,1033.3333300000002,2020-06-24
177,843.66667,2020-06-25
178,897.0,2020-06-26
179,1050.0,2020-06-27
180,1129.3333300000002,2020-06-28
181,1057.0,2020-06-29
182,868.33333,2020-06-30
