dayOfYear,dN,datetime
32,1.0,2020-02-01
33,1.0,2020-02-02
34,0.0,2020-02-03
35,0.0,2020-02-04
36,0.0,2020-02-05
37,0.0,2020-02-06
38,0.0,2020-02-07
39,0.0,2020-02-08
40,0.0,2020-02-09
41,0.0,2020-02-10
42,0.0,2020-02-11
43,0.0,2020-02-12
44,0.0,2020-02-13
45,0.0,2020-02-14
46,0.0,2020-02-15
47,0.0,2020-02-16
48,0.0,2020-02-17
49,0.0,2020-02-18
50,0.0,2020-02-19
51,0.0,2020-02-20
52,0.0,2020-02-21
53,4.66667,2020-02-22
54,25.33333,2020-02-23
55,43.0,2020-02-24
56,70.66667,2020-02-25
57,81.0,2020-02-26
58,89.33333,2020-02-27
59,140.33333000000002,2020-02-28
60,188.66666999999998,2020-02-29
61,242.66667,2020-03-01
62,346.33333,2020-03-02
63,382.66667,2020-03-03
64,458.0,2020-03-04
65,466.66667,2020-03-05
66,607.3333299999999,2020-03-06
67,711.3333299999999,2020-03-07
68,931.33333,2020-03-08
69,1172.3333300000002,2020-03-09
70,1512.0,2020-03-10
71,1422.0,2020-03-11
72,1695.6666699999998,2020-03-12
73,1980.3333300000002,2020-03-13
74,2503.66667,2020-03-14
75,2898.33333,2020-03-15
76,2955.66667,2020-03-16
77,3440.0,2020-03-17
78,3449.6666700000005,2020-03-18
79,3911.0,2020-03-19
80,4351.6666700000005,2020-03-20
81,5171.6666700000005,2020-03-21
82,5955.0,2020-03-22
83,6034.3333299999995,2020-03-23
84,5635.3333299999995,2020-03-24
85,5199.3333299999995,2020-03-25
86,5082.6666700000005,2020-03-26
87,5537.3333299999995,2020-03-27
88,5774.0,2020-03-28
89,6028.6666700000005,2020-03-29
90,5716.6666700000005,2020-03-30
91,5080.3333299999995,2020-03-31
92,4440.0,2020-04-01
93,4295.0,2020-04-02
94,4501.0,2020-04-03
95,4678.3333299999995,2020-04-04
96,4686.0,2020-04-05
97,4568.6666700000005,2020-04-06
98,4240.0,2020-04-07
99,3651.3333299999995,2020-04-08
100,3491.3333299999995,2020-04-09
101,3693.0,2020-04-10
102,3997.0,2020-04-11
103,4283.0,2020-04-12
104,4245.6666700000005,2020-04-13
105,3979.6666700000005,2020-04-14
106,3405.6666700000005,2020-04-15
107,2930.66667,2020-04-16
108,3141.66667,2020-04-17
109,3315.33333,2020-04-18
110,3590.0,2020-04-19
111,3343.66667,2020-04-20
112,2931.33333,2020-04-21
113,2677.33333,2020-04-22
114,2785.0,2020-04-23
115,2915.0,2020-04-24
116,3012.33333,2020-04-25
117,2674.66667,2020-04-26
118,2567.33333,2020-04-27
119,2140.0,2020-04-28
120,2051.33333,2020-04-29
121,1972.0,2020-04-30
122,2016.3333300000002,2020-05-01
123,1974.3333300000002,2020-05-02
124,1912.3333300000002,2020-05-03
125,1751.3333300000002,2020-05-04
126,1503.3333300000002,2020-05-05
127,1228.3333300000002,2020-05-06
128,1246.6666699999998,2020-05-07
129,1306.6666699999998,2020-05-08
130,1390.6666699999998,2020-05-09
131,1270.3333300000002,2020-05-10
132,1070.6666699999998,2020-05-11
133,876.33333,2020-05-12
134,982.66667,2020-05-13
135,1011.33333,2020-05-14
136,1094.0,2020-05-15
137,889.66667,2020-05-16
138,885.33333,2020-05-17
139,779.6666700000001,2020-05-18
140,667.0,2020-05-19
141,646.3333299999999,2020-05-20
142,643.0,2020-05-21
143,706.6666700000001,2020-05-22
144,653.0,2020-05-23
145,654.3333299999999,2020-05-24
146,617.3333299999999,2020-05-25
147,500.0,2020-05-26
148,409.33333,2020-05-27
149,427.0,2020-05-28
150,524.6666700000001,2020-05-29
151,564.3333299999999,2020-05-30
152,508.33333,2020-05-31
153,429.0,2020-06-01
154,316.33333,2020-06-02
155,283.66667,2020-06-03
156,272.33333,2020-06-04
157,272.0,2020-06-05
158,338.66667,2020-06-06
159,321.66667,2020-06-07
160,328.33333,2020-06-08
161,249.0,2020-06-09
162,253.33333,2020-06-10
163,255.0,2020-06-11
164,288.0,2020-06-12
165,248.0,2020-06-13
166,296.0,2020-06-14
167,282.33333,2020-06-15
168,328.33333,2020-06-16
169,283.0,2020-06-17
170,279.66667,2020-06-18
171,289.66667,2020-06-19
172,170.33333000000002,2020-06-20
173,149.0,2020-06-21
174,113.33333,2020-06-22
175,236.33333,2020-06-23
176,186.0,2020-06-24
177,303.66667,2020-06-25
178,328.66667,2020-06-26
179,376.0,2020-06-27
180,242.0,2020-06-28
181,201.33333000000002,2020-06-29
182,158.33333000000002,2020-06-30
