dayOfYear,dN,datetime
32,0.0,2020-02-01
33,0.0,2020-02-02
34,0.0,2020-02-03
35,0.0,2020-02-04
36,0.0,2020-02-05
37,0.0,2020-02-06
38,0.0,2020-02-07
39,0.0,2020-02-08
40,0.0,2020-02-09
41,0.0,2020-02-10
42,0.0,2020-02-11
43,0.0,2020-02-12
44,0.0,2020-02-13
45,0.0,2020-02-14
46,0.0,2020-02-15
47,0.0,2020-02-16
48,0.0,2020-02-17
49,0.0,2020-02-18
50,0.0,2020-02-19
51,0.0,2020-02-20
52,0.0,2020-02-21
53,0.0,2020-02-22
54,0.0,2020-02-23
55,0.0,2020-02-24
56,0.0,2020-02-25
57,0.0,2020-02-26
58,0.0,2020-02-27
59,0.33333,2020-02-28
60,0.33333,2020-02-29
61,0.33333,2020-03-01
62,0.0,2020-03-02
63,0.0,2020-03-03
64,0.5,2020-03-04
65,1.0,2020-03-05
66,1.0,2020-03-06
67,1.0,2020-03-07
68,1.0,2020-03-08
69,1.0,2020-03-09
74,1.0,2020-03-14
75,1.5,2020-03-15
76,1.5,2020-03-16
77,2.0,2020-03-17
78,12.0,2020-03-18
79,10.0,2020-03-19
80,10.33333,2020-03-20
81,11.0,2020-03-21
82,12.66667,2020-03-22
83,21.0,2020-03-23
84,29.66667,2020-03-24
85,41.0,2020-03-25
86,53.333330000000004,2020-03-26
87,65.33333,2020-03-27
88,75.66667,2020-03-28
89,71.33333,2020-03-29
90,71.33333,2020-03-30
91,77.0,2020-03-31
92,57.0,2020-04-01
93,57.0,2020-04-02
94,41.66667,2020-04-03
95,59.0,2020-04-04
96,49.66667,2020-04-05
97,46.33333,2020-04-06
98,39.66667,2020-04-07
99,32.33333,2020-04-08
100,27.0,2020-04-09
101,24.0,2020-04-10
102,22.0,2020-04-11
103,19.0,2020-04-12
104,16.33333,2020-04-13
105,12.33333,2020-04-14
106,9.66667,2020-04-15
107,6.66667,2020-04-16
108,4.66667,2020-04-17
109,5.33333,2020-04-18
110,4.66667,2020-04-19
111,6.33333,2020-04-20
112,4.33333,2020-04-21
113,4.66667,2020-04-22
114,2.33333,2020-04-23
115,2.33333,2020-04-24
116,1.66667,2020-04-25
117,3.0,2020-04-26
118,2.66667,2020-04-27
119,2.33333,2020-04-28
120,1.66667,2020-04-29
121,2.33333,2020-04-30
122,2.66667,2020-05-01
123,2.66667,2020-05-02
124,2.33333,2020-05-03
125,1.66667,2020-05-04
126,1.0,2020-05-05
127,0.66667,2020-05-06
128,0.66667,2020-05-07
129,1.33333,2020-05-08
130,1.33333,2020-05-09
131,1.66667,2020-05-10
132,2.0,2020-05-11
133,1.66667,2020-05-12
134,1.0,2020-05-13
135,0.0,2020-05-14
136,0.33333,2020-05-15
137,0.33333,2020-05-16
138,0.66667,2020-05-17
139,0.33333,2020-05-18
140,1.66667,2020-05-19
141,1.33333,2020-05-20
142,1.33333,2020-05-21
143,0.33333,2020-05-22
144,0.33333,2020-05-23
145,0.33333,2020-05-24
146,0.0,2020-05-25
147,0.0,2020-05-26
148,0.0,2020-05-27
149,0.0,2020-05-28
150,0.0,2020-05-29
151,0.0,2020-05-30
152,0.0,2020-05-31
153,0.0,2020-06-01
154,0.0,2020-06-02
155,0.0,2020-06-03
156,0.0,2020-06-04
157,0.0,2020-06-05
158,0.0,2020-06-06
159,0.0,2020-06-07
160,0.0,2020-06-08
161,0.0,2020-06-09
162,0.0,2020-06-10
163,0.0,2020-06-11
164,0.0,2020-06-12
165,0.0,2020-06-13
166,0.0,2020-06-14
167,0.0,2020-06-15
168,0.66667,2020-06-16
169,0.66667,2020-06-17
170,1.0,2020-06-18
171,0.33333,2020-06-19
172,1.0,2020-06-20
173,1.33333,2020-06-21
174,2.0,2020-06-22
175,2.0,2020-06-23
176,1.66667,2020-06-24
177,2.0,2020-06-25
178,1.66667,2020-06-26
179,2.0,2020-06-27
180,2.33333,2020-06-28
181,2.66667,2020-06-29
182,2.0,2020-06-30
