Datafile: Chemistry of nodules and crusts, 15 header lines, comma delimited, > symbols stripped from Cl numbers, Unit multiplier added (wt proportion)
Table 3 of J.R. Hein et al. / Ore Geology Reviews 51 (2013) 1–14
Compiled chemical composition of crusts and nodules from selected areas of the global ocean (see Fig. 2)a.
Crust and nodule data modified from Hein et al. (2000) and Hein and Koschinsky (2013).
2: Atlantic Ocean
4: Indian Ocean
6: N. Pacific Prime Zone
8: Non-Prime N. Pacific
10: S. Pacific 
12: CA margin 
14: CCZ nodules 
16: Peru Basin nodules
17: Indian Ocean nodules
Indian Ocean nodule data from Jauhari and Pattan (2000), Pattan et al. (2001), Baturin and Dubinchuk (2010), Pattan and Parthiban (2011); Balaram et al. (2006).
Element,Unit_wt_proportion,Mean,N,Mean,N,Mean,N,Mean,N,Mean,N,Mean,N,Mean,N,Mean,Mean,N
Fe,0.01,20.9,43,22.3,23,16.8,368,22.5,70,18.1,286,23.5,167,6.16,66,6.12,7.14,1135
Mn,0.01,14.5,43,17.0,23,22.8,368,23.4,70,21.7,321,18.2,167,28.4,66,34.2,24.4,1135
Si,0.01,5.21,43,6.82,23,4.04,309,5.88,70,4.75,255,11.2,167,6.55,12,4.82,10.02,36
Al,0.01,2.20,43,1.83,23,1.01,357,1.80,69,1.28,241,1.84,167,2.36,65,1.50,2.92,49
Mg,0.01,1.58,43,1.25,23,1.10,334,1.37,70,1.32,192,1.23,167,1.89,66,1.71,1.99,53
Ca,0.01,4.03,43,2.27,23,4.03,334,2.54,70,3.53,256,2.14,167,1.70,66,1.82,1.67,53
Na,0.01,1.26,43,1.55,23,1.63,309,1.98,70,1.52,88,1.99,167,1.99,66,2.65,1.86,38
K,0.01,0.54,43,0.63,23,0.54,309,0.78,70,0.63,156,0.85,167,0.99,66,0.81,1.14,49
Ti,0.01,0.92,43,0.88,23,1.16,351,1.01,70,1.12,230,0.66,167,0.32,66,0.16,0.42,53
P,0.01,0.75,43,0.38,23,0.97,334,0.95,70,0.78,265,0.55,167,0.21,66,0.15,0.17,46
Cl,0.01,0.74,31,1.00,19,0.91,49,1.05,40,1.08,40,0.88,3,0.27,12,0.50,,
LOI,0.01,26.0,43,26.6,23,32.0,191,25.3,70,18.5,55,14.7,105,26.5,12,16.2,,
H2O−,0.01,10.6,43,14.1,23,19.4,309,17.4,70,19.8,53,17.7,167,11.6,12,,,
H2O+,0.01,,,,,7.99,263,9.20,27,10.2,7,9.39,63,8.80,7,,,
CO2,0.01,,,,,0.74,263,0.69,27,0.83,7,0.37,63,,,,,
ST,0.01,0.25,31,0.15,9,0.27,49,0.18,40,0.17,40,0.09,3,0.17,12,,,
Ag,0.000001,0.20,18,0.37,9,0.1,4,1.5,9,0.97,13,1.2,83,0.17,12,0.05,,
As,0.000001,308,42,207,19,389,334,257,66,287,84,252,167,67,12,65,150,3
Au,0.000000001,6.0,2,21,2,55,13,25,21,33,38,6.6,10,4.5,9,,,
B,0.000001,257,13,287,10,178,43,302,40,197,40,351,3,,,,,
Ba,0.000001,1556,43,1533,23,1938,334,2267,70,1705,143,2224,167,3500,66,3158,1708,42
Be,0.000001,9.0,43,6.9,23,5.9,49,7.4,43,5.4,59,4.1,105,1.9,12,1.4,,
Bi,0.000001,19,38,30,22,42,40,31,41,22,46,16,105,8.8,12,3.3,,
Br,0.000001,36,10,54,6,28,34,29,36,30,72,27,3,,,,,
Cd,0.000001,4.1,34,3.5,18,3.6,291,3.7,66,4.1,62,3.5,167,16,12,19,18,3
Co,0.000001,3608,43,3291,23,6655,368,3733,70,6167,321,2977,167,2098,66,475,1111,1124
Cr,0.000001,47,40,22,18,28,278,30,63,35,79,52,167,17,12,16,18,3
Cs,0.000001,,,5.0,1,3.7,1,5.8,20,1.9,18,0.58,102,1.5,61,0.78,0.99,3
Cu,0.000001,861,43,1105,23,982,368,1074,70,1082,321,438,167,10714,66,5988,10406,1124
Ga,0.000001,15,39,16,23,18,39,18,35,29,27,11,37,36,12,32,,
Ge,0.000001,0.66,18,0.64,9,,,15,8,2.4,11,0.96,69,,,0.60,,
Hf,0.000001,8.7,30,9.8,15,9.2,49,6.9,30,9.1,81,6.3,105,4.7,66,4.7,14,3
Hg,0.000000001,86,37,38,18,9.3,12,28,37,32,33,14,65,18,3,16,,
In,0.000001,0.18,19,0.26,10,0.60,7,0.79,12,0.87,6,0.14,74,0.27,12,0.08,,
