Time,PopTotal
2020,7794798.728999999
2021,7883801.792
2022,7974797.217999999
2023,8067252.206
2024,8160744.583
2025,8254962.614
2026,8349711.746
2027,8444906.927000001
2028,8540558.679
2029,8636743.527999999
2030,8733522.269
2031,8830852.633
2032,8928511.526
2033,9026062.341
2034,9122948.057
2035,9218767.063
2036,9313353.996
2037,9406793.302000001
2038,9499252.956
2039,9591020.9
2040,9682331.792000001
2041,9773235.656
2042,9863730.957999999
2043,9953952.21
2044,10044052.111
2045,10134164.418
2046,10224365.072999999
2047,10314720.045
2048,10405336.75
2049,10496326.079
2050,10587773.913999999
2051,10679735.296
2052,10772228.298
2053,10865250.174
2054,10958774.339000002
2055,11052774.675999999
2056,11147251.075
2057,11242194.679000001
2058,11337550.42
2059,11433247.289
2060,11529222.442
2061,11625455.545
2062,11721923.103
2063,11818555.787
2064,11915273.01
2065,12012015.418
2066,12108763.781
2067,12205524.599000001
2068,12302302.934
2069,12399115.604
2070,12495986.834
2071,12592925.814000001
2072,12689962.459
2073,12787168.962000001
2074,12884637.328
2075,12982447.172
2076,13080637.697999999
2077,13179238.963
2078,13278307.781
2079,13377904.428
2080,13478079.013
2081,13578855.479
2082,13680253.502
2083,13782308.789
2084,13885055.549
2085,13988513.727
2086,14092686.345999999
2087,14197552.888
2088,14303073.145
2089,14409190.990999999
2090,14515851.230999999
2091,14623005.072
2092,14730608.882000001
2093,14838618.745
2094,14946984.755
2095,15055647.057
2096,15164532.384000001
2097,15273554.464000002
2098,15382612.955
2099,15491593.518
2100,15600368.927000001
