Time,PopTotal
1950,2536431.018
1951,2584034.227
1952,2630861.69
1953,2677609.0609999998
1954,2724846.7539999997
1955,2773019.915
1956,2822443.2539999997
1957,2873306.058
1958,2925686.68
1959,2979576.147
1960,3034949.715
1961,3091843.5130000003
1962,3150420.7610000004
1963,3211000.9460000005
1964,3273978.272
1965,3339583.51
1966,3407922.631
1967,3478770.104
1968,3551599.436
1969,3625680.965
1970,3700437.042
1971,3775760.03
1972,3851650.588
1973,3927780.519
1974,4003794.1780000003
1975,4079480.474
1976,4154666.827
1977,4229505.919
1978,4304533.598999999
1979,4380506.185
1980,4458003.466
1981,4536996.619
1982,4617386.526000001
1983,4699569.187
1984,4784011.517
1985,4870921.666
1986,4960568.0
1987,5052521.998
1988,5145425.994
1989,5237441.433999999
1990,5327231.041
1991,5414289.382999999
1992,5498919.892999999
1993,5581597.597999999
1994,5663150.427999999
1995,5744212.93
1996,5824891.931
1997,5905045.647000001
1998,5984794.075
1999,6064239.033
2000,6143493.806
2001,6222626.531
2002,6301773.172
2003,6381185.141
2004,6461159.391
2005,6541906.956
2006,6623517.917
2007,6705946.642999999
2008,6789088.672
2009,6872766.988
2010,6956823.5879999995
2011,7041194.168
2012,7125827.957
2013,7210582.041
2014,7295290.759
2015,7379796.967
2016,7464021.933999999
2017,7547858.9
2018,7631091.113
2019,7713468.205
2020,7794798.728999999
2021,7874965.732000001
2022,7953952.5770000005
2023,8031800.3379999995
2024,8108605.255
2025,8184437.453
2026,8259276.651000001
2027,8333078.318
2028,8405863.301
2029,8477660.723
2030,8548487.371
2031,8618349.454
2032,8687227.873
2033,8755083.512
2034,8821862.705
2035,8887524.229
2036,8952048.885
2037,9015437.616
2038,9077693.645
2039,9138828.562
2040,9198847.382000001
2041,9257745.483
2042,9315508.152999999
2043,9372118.247000001
2044,9427555.382000001
2045,9481803.272
2046,9534854.673
2047,9586707.749
2048,9637357.32
2049,9686800.146
2050,9735033.9
2051,9782061.758
2052,9827885.441
2053,9872501.562
2054,9915905.251
2055,9958098.746
2056,9999085.167000001
2057,10038881.262
2058,10077518.08
2059,10115036.36
2060,10151469.683
2061,10186837.208999999
2062,10221149.04
2063,10254419.004
2064,10286658.354
2065,10317879.315
2066,10348098.079
2067,10377330.83
2068,10405590.532
2069,10432889.136
2070,10459239.501
2071,10484654.858
2072,10509150.402
2073,10532742.861
2074,10555450.002999999
2075,10577288.195
2076,10598274.172
2077,10618420.909
2078,10637736.819
2079,10656228.233
2080,10673904.454
2081,10690773.335
2082,10706852.426
2083,10722171.375
2084,10736765.444
2085,10750662.353
2086,10763874.023
2087,10776402.019000001
2088,10788248.947999999
2089,10799413.365999999
2090,10809892.303
2091,10819682.643
2092,10828780.959
2093,10837182.077
2094,10844878.798
2095,10851860.145
2096,10858111.587000001
2097,10863614.775999999
2098,10868347.636
2099,10872284.134000001
2100,10875393.719
