Annual average US producer copper price
https://pubs.usgs.gov/sir/2012/5188/sir2012-5188.pdf#Copper
Metal Prices in the United States Through 2010, Scientific Investigations Report 2012–5188, U.S. Department of the Interior & U.S. Geological Survey, page 50
Year Price
1850 22.00
1851 17.00
1852 22.00
1853 22.00
1854 22.00
1855 27.00
1856 27.00
1857 25.00
1858 23.00
1859 22.00
1860 23.00
1861 22.00
1862 22.00
1863 34.00
1864 47.00
1865 39.20
1866 34.20
1867 25.40
1868 23.00
1869 24.20
1870 21.20
1871 24.10
1872 35.60
1873 28.00
1874 22.00
1875 22.70
1876 21.00
1877 19.00
1878 16.60
1879 18.60
1880 21.40
1881 19.20
1882 19.10
1883 16.50
1884 13.00
1885 10.80
1886 11.10
1887 13.80
1888 16.80
1889 13.50
1890 15.60
1891 12.80
1892 11.60
1893 10.80
1894 9.50
1895 10.70
1896 10.80
1897 11.29
1898 12.03
1899 16.70
1900 16.19
1901 16.10
1902 11.63
1903 13.20
1904 12.80
1905 15.60
1906 19.30
1907 20.00
1908 13.20
1909 13.11
1910 12.88
1911 12.55
1912 16.48
1913 15.52
1914 13.31
1915 17.47
1916 28.46
1917 29.19
1918 24.68
1919 18.19
1920 17.50
1921 12.65
1922 13.56
1923 14.75
1924 13.28
1925 14.30
1926 14.05
1927 13.05
1928 14.81
1929 18.35
1930 13.23
1931 8.37
1932 5.79
1933 7.28
1934 8.66
1935 8.88
1936 9.71
1937 13.39
1938 10.22
1939 11.20
1940 11.53
1941 12.00
1942 12.00
1943 12.00
1944 12.00
1945 12.00
1946 14.04
1947 21.27
1948 22.32
1949 19.50
1950 21.58
1951 24.50
1952 24.50
1953 29.05
1954 29.94
1955 37.51
1956 42.00
1957 30.17
1958 26.31
1959 30.99
1960 32.34
1961 30.32
1962 31.00
1963 31.00
1964 32.35
1965 35.36
1966 36.00
1967 38.10
1968 41.17
1969 47.43
1970 58.07
1971 52.09
1972 51.44
1973 59.49
1974 77.27
1975 64.16
1976 69.59
1977 66.77
1978 65.81
1979 92.19
1980 101.31
1981 84.21
1982 72.80
1983 76.53
1984 66.85
1985 66.97
1986 66.05
1987 82.50
1988 120.51
1989 130.95
1990 123.16
1991 109.33
1992 107.42
1993 91.56
1994 111.05
1995 138.33
1996 109.04
1997 106.92
1998 78.64
1999 75.91
2000 88.16
2001 76.85
2002 75.80
2003 85.01
2004 134.20
2005 173.57
2006 314.75
2007 328.00
2008 319.16
2009 241.38
2010 348.34

