Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/07/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.18132,26087.77566,27190.50147,27151.92373,26954.40489,28417.38421,26966.05486,25508.30272,25469.2876,27005.52943,26979.8854,27046.22423,27427.57857,27365.93119,24463.6922,23512.6026,24233.00108,23781.2573,24635.76495,24563.23433,25822.25137,26231.02668,26630.20528,,
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3035529,343.0808897,333.2166845,357.2347199,365.284495,405.5489791,412.0142867,488.300251,543.3030419,528.7366481,576.1901255,587.5650902,583.6561928,574.1841143,571.0737745,571.5425058,568.3428711,571.4666412
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3179.539126,2934.398341,2831.972747,2847.502355,2912.665763,2909.529527,2890.015614,2904.130151,2976.63663,2877.338902,2685.779139,2623.714549,2390.80827,1759.353478,1726.31605,1922.416597,2113.751211,2195.719321,2225.684825,2201.529923,2195.631044,2213.681627,2433.804904,2423.294504,2597.457541,2883.978818,3102.65158,3409.504178,3652.154266,3549.578603,3587.883798,3579.960081,3748.449445,3796.882622,3843.198241,3748.320623,3530.309422,3409.929285,3233.907018,3103.496045
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1992.291931,2064.983662,2081.417629,2060.25373,1992.110895,1986.321914,2058.120609,2001.532657,1936.232207,2070.289515,1838.667485,1331.805313,1243.605824,1370.826071,1493.785902,1703.281845,1869.865873,1676.127107,1835.646681,2085.425997,2244.624632,2453.624414,2572.721432,2725.171389,2887.370342,3062.673883,3263.901713,3485.322409,3775.581314,3928.450391,4094.350334,4209.874801,4276.607904,4327.37996,4413.296891,4524.373086,4681.826563,4864.310616,5074.857222,5209.362832
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,41701.54443,41449.79856,42605.79499,43744.39623,44186.42908,42711.47458,42634.09179,42514.42096,41901.27143,40617.22834,40076.7105,38494.18318,37365.77523,36396.00786,35450.31156,34732.87291,34384.91064,34840.7421,35178.86721,35460.89004,35410.31761,34926.56678,33923.98411,32427.04662,32296.18024,32577.06736,33821.66677,36907.42859,38196.39372,39621.25654,40379.39021,42393.08182,42607.05694,44328.76045,46010.10134,46880.8061,47845.40042,47594.82814,44317.55024,41668.83736,40852.66678,41191.78541,39769.56146,39143.68968,40914.72852,42140.9618,44107.95633,44430.74401,45133.71361,45887.30213
Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4074.157287,4573.946958,4793.920861,4609.562799,4976.441759,5259.330423,5244.054545,4621.845974,4175.803434,4106.648077,3894.869085,3960.75589,3829.598516,3931.776752,3914.574668,4270.744102,4220.206757,4350.117596,4374.355182,4400.119319,4384.528511,4481.697712,4569.026368,4707.364378,4690.76112,4842.612061,4814.875821,4740.537228,4886.349414,5224.729169,5400.54005,5618.129206,5734.492107,5922.265978,5806.185284,5934.290684,6020.486894,6274.111136,6333.027447,6350.838014,6418.028694,6506.271231,6454.459571,6465.474393,6437.16685
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,103604.9068,103766.654,109318.6357,94683.67932,102668.6318,116232.753,113095.3373,99319.61427,89704.03867,88583.37854,80886.46644,64972.4226,63352.29403,58146.79648,61588.08673,68780.58855,65478.70692,63853.89076,61081.3716,61843.21371,62681.60907,63076.60646,64864.72032,61773.86736,60291.50899,63251.52299,60861.266,59187.20693,60351.14005,60328.32053,56092.92022,53335.03157,47283.90328,42456.79589,36024.05823,33893.30351,34634.86214,35416.89178,36978.83304,38495.04635,40247.74714,41045.11112,41460.28345,41327.38276,41420.48303
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5642.765138,5853.171906,5711.179338,5323.494309,5772.649967,6286.229347,6151.926026,6255.184022,6460.787452,6980.899178,7084.181478,7368.07758,7368.50577,7453.753557,7740.855928,7617.943151,7350.828567,7743.582315,7285.439556,7910.366622,7908.022618,7380.674984,7210.347021,7403.72721,7399.889119,6904.645044,7214.270703,7294.064256,7104.181201,6497.425545,6245.708577,6721.278239,7157.328311,7644.235692,7988.644614,7666.530004,7994.243371,8543.028534,8772.06321,8381.253998,8224.112827,7776.137872,6854.294081,7380.467087,7962.412309,8577.864994,9174.502458,9901.511881,10201.47594,9502.243585,10385.96443,10883.31536,10649.83729,10784.6307,10398.69401,10568.15781,10239.48135,10404.26351,10043.50855,9729.141574
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.284226,1600.120744,948.1603061,885.2169859,955.5910351,1042.583472,1120.849885,1171.059938,1266.410727,1316.530418,1403.031257,1547.250964,1761.134046,2018.367486,2243.088954,2571.547374,2933.586372,3364.705742,3627.796702,3137.346098,3218.372707,3370.551103,3603.595848,3705.357396,3819.217787,3923.716502,3917.379676,4198.794749,4406.706434,4732.069506
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.21257,10561.31569,10586.68234,10565.23192,10202.95531,10535.55194,10416.00578,10117.01136,10271.22452,10360.50915,9921.806108,9640.344462,9717.829056,9850.565034,9589.979837,9048.182522,9271.71201,
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5197.160456,5435.740857,5882.900631,6371.977746,6622.020946,6618.706712,6972.832278,7681.744698,8268.921408,9224.114381,9841.234613,10345.23335,10846.97626,11080.72573,11172.03289,11107.91584,11462.22941,11967.83388,11201.74013,11685.82372,12062.0076,12370.46666,12580.03747,13184.90924,12337.60491,12291.54926,12870.94771,13433.78138,14097.09667,15653.37472,16833.70452,16558.45791,14327.31085,13049.25705,12618.07913,12876.88929,12644.68902,12976.33146,13328.14665,13917.95112,14220.50211,15134.88416,15703.02848
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19378.37079,19468.81782,19245.62026,20053.36379,21035.91831,21861.95759,21877.57741,22964.70014,23712.90872,24857.54409,26120.64947,26263.48967,26794.02202,27077.1153,27483.68695,27513.86851,27944.23363,28625.19424,28547.98254,29383.07357,29907.78635,30419.53253,30912.22222,29850.19433,30866.25182,32045.31602,32797.09464,33126.79271,34460.03653,35191.11444,35912.20924,35316.53701,35034.53266,36091.38898,37133.6484,38095.12953,39056.18102,40153.61225,41555.94435,43168.29246,44334.39293,44585.19852,45806.69447,46595.90092,47926.74866,48813.88776,49443.22553,51024.24113,51841.27303,51767.37784,52022.1256,52567.77724,53682.04722,54129.93905,54679.42018,55079.89212,55728.68446,56095.18632,56864.33238,57071.1683
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13031.03177,13677.4644,13953.9502,14438.35685,15220.81993,15648.52691,16416.00563,16783.88992,17443.70522,18474.54027,19573.86715,20483.45356,21628.9664,22561.3708,23410.89059,23387.7067,24501.74966,25736.55155,25703.13771,27126.17853,27595.83511,27485.83251,28018.54125,28898.21922,28914.85696,29623.43452,30285.93358,30677.5444,31643.80938,32726.05985,33888.99603,34707.07169,35045.84476,34941.14386,35643.02815,36537.99352,37346.00747,38084.7025,39405.41522,40727.4845,42001.21077,42370.93025,42859.32994,43052.6026,43956.5829,44637.85601,45951.73464,47510.29379,48053.48236,46123.4911,46858.04327,48065.31654,48172.23812,47901.36613,47842.74891,47789.38502,48259.9376,49112.73289,50056.73789,50654.73015
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.062088,3096.449796,2360.6147,1787.943763,1416.442362,1234.99656,1238.481366,1297.733809,1414.022286,1505.390501,1658.805293,1808.957401,1964.986328,2149.232505,2327.651858,2948.206048,3921.027553,4863.98288,5267.371989,5642.504715,5842.805784,5676.450413,5724.920832,5981.580656,6072.646128,6063.717832,5812.608671,5764.69252,5800.715184,5879.992654
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,213.3968808,180.5458763,193.1918807,197.3056473,205.3964006,208.8460767,213.2352824,236.5356809,229.9151026,221.4509164,263.6439568,266.9780626,247.1040037,261.5291709,256.6873304,254.6759476,269.8015116,294.2253386,284.4600856,281.9172604,277.4474586,303.2276537,292.2778114,295.1964783,287.7496978,312.8721134,314.0568755,322.0862632,329.025421,324.7711903,327.9866819,336.5802704,332.7658755,305.9481493,289.1969183,262.3750659,238.4746315,232.3054774,240.8445729,235.3092857,229.2061073,228.6603888,232.4664977,222.8073211,226.2884716,221.0963747,225.6222104,225.8590853,229.1485451,230.1925985,234.2356469,235.9887667,238.8160458,242.8459947,245.3267387,228.4325442,219.9614978,214.1392462,210.8042258,208.0747269
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13020.54235,13623.42694,14276.53873,14786.8327,15666.52198,16077.68118,16473.42727,17015.6626,17659.71298,18777.26971,19807.71836,20559.71616,21563.87078,22867.94345,23836.80736,23300.75817,24573.94421,24697.30017,25375.48553,25946.21258,27069.42631,26994.53771,27162.53261,27249.40174,27921.89555,28374.65437,28881.55905,29522.57888,30818.85482,31772.38986,32671.63368,33147.1274,33518.23129,33066.4057,34028.41283,34767.01661,35157.69237,36403.25077,37038.25317,38262.62573,39588.59801,39886.49436,40385.86895,40634.58549,41903.97642,42641.67746,43442.5679,44710.38502,44556.82058,43306.59913,44141.87814,44309.62537,44361.20847,44355.36945,44855.95787,45503.35199,45942.83,46637.51089,47116.35148,47540.93347
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,711.9363414,724.1025827,688.9462137,710.1941032,744.801684,770.4096751,783.1417749,776.2063417,789.7799013,795.6691699,795.1558039,766.3516048,797.6471836,808.583731,816.2546,757.8102672,745.7809495,763.2763988,753.0082312,781.2528991,812.09828,868.8693174,863.9575466,803.4359059,842.7670283,880.4566352,873.8374404,835.9139926,838.9278559,790.1005551,833.6122398,839.9868784,835.2611143,853.5966842,841.5124559,863.4706425,872.91714,895.4440269,903.7740116,924.3572067,949.7362592,970.5902433,985.2133544,988.6274816,1001.8544,989.372279,999.0200266,1029.032263,1049.367869,1043.961894,1036.533952,1037.74704,1057.66774,1102.52743,1140.447754,1128.99638,1134.924536,1166.760575,1211.316563,1259.808071
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,268.721734,275.8590318,288.8854493,281.393423,283.8054932,290.1656396,287.2027859,307.4745896,311.6079831,312.5078905,307.5098004,306.4735735,308.0784414,303.9674667,323.1850812,326.6823312,347.8114799,342.2856902,350.8269652,356.0061785,350.8915318,357.3222527,382.0234192,373.8071017,357.8790216,378.4776139,398.139358,386.9816687,398.8154612,396.7778761,384.0364877,407.8044938,397.8927113,400.660405,395.007732,406.2772498,438.7280267,453.6365359,473.3321193,494.2312303,489.4553635,507.1179701,514.1898651,538.4738183,546.3577203,576.371745,594.378679,600.4561144,616.3532543,615.6909235,647.8358465,670.2645482,692.4450379,711.0361292,720.1523352,726.6520119,747.8284753,771.2519183,800.5633656,822.3781291
