RE or Non-RE,Group Technology,Year,Sum of Electricity Installed Capacity (MW),Sum of Electricity Generation (GWh),Sum of Heat Generation (TJ),Sum of Public Flows (2021 USD M),Sum of SDG 7a1 Intl. Public Flows (2021 USD M)
Total Renewable,Geothermal energy,2000,8272.7,52571.035,18314,0.454446548,0.46
Total Renewable,Geothermal energy,2001,7960.91,51678.624,18980,,
Total Renewable,Geothermal energy,2002,8113.45,52604.682,19525,3.007895452,0.75
Total Renewable,Geothermal energy,2003,8188.35,53775.784,19298,0.220161327,0.22
Total Renewable,Geothermal energy,2004,8208.88,56060.822,19729,103.6412034,99.05
Total Renewable,Geothermal energy,2005,8556.116,58466.666,23810.786,228.1105106,228.12
Total Renewable,Geothermal energy,2006,8758.696,59769.349,23844.269,11.29151661,11.29
Total Renewable,Geothermal energy,2007,9012.936,62668.882,24532.125,8.749619811,8.76
Total Renewable,Geothermal energy,2008,9318.816,65262.183,25478.169,2.623998445,2.04
Total Renewable,Geothermal energy,2009,9754.316,67289.734,25264.846,453.7848893,203.63
Total Renewable,Geothermal energy,2010,9914.316,68436.181,26085.106,692.4379218,692.43
Total Renewable,Geothermal energy,2011,10058.666,69796.175,25562.554,927.4060487,926.21
Total Renewable,Geothermal energy,2012,10517.666,70876.697,27517.846,449.4368461,449.43
Total Renewable,Geothermal energy,2013,10786.366,72408.015,28504.974,356.92895,291.42
Total Renewable,Geothermal energy,2014,11248.716,77343.67,29699.358,1358.903034,1358.92
Total Renewable,Geothermal energy,2015,11846.966,81228.849,34251.099,1265.744183,1205.05
Total Renewable,Geothermal energy,2016,12172.974,83240.84,37293.898,1219.359652,896.28
Total Renewable,Geothermal energy,2017,12753.613,87051.64,40276.196,1462.764033,1462.69
Total Renewable,Geothermal energy,2018,13156.661,89464.19,44692.452,1124.47806,1123.78
Total Renewable,Geothermal energy,2019,13824.041,92001.018,45983.642,388.4045761,385.26
Total Renewable,Geothermal energy,2020,14157.341,95444.69,48902.946,576.2464333,430.97
Total Renewable,Geothermal energy,2021,14432.038,94653.527,50224.109,799.1364289,497.03
Total Renewable,Geothermal energy,2022,14652.906,96878.35,49614.61,56.71103148,52.88
Total Renewable,Geothermal energy,2023,15025.745,,,,
