,region,category,parameter,mode,powertrain,year,unit,value
2806,World,Historical,EV stock,Cars,BEV,2010,Vehicles,17000.0
2817,World,Historical,EV stock,Cars,BEV,2011,Vehicles,55000.0
2830,World,Historical,EV stock,Cars,BEV,2012,Vehicles,120000.0
2840,World,Historical,EV stock,Cars,BEV,2013,Vehicles,230000.0
2855,World,Historical,EV stock,Cars,BEV,2014,Vehicles,410000.0
2864,World,Historical,EV stock,Cars,BEV,2015,Vehicles,740000.0
2879,World,Historical,EV stock,Cars,BEV,2016,Vehicles,1200000.0
2888,World,Historical,EV stock,Cars,BEV,2017,Vehicles,1900000.0
2903,World,Historical,EV stock,Cars,BEV,2018,Vehicles,3300000.0
2912,World,Historical,EV stock,Cars,BEV,2019,Vehicles,4800000.0
2926,World,Historical,EV stock,Cars,BEV,2020,Vehicles,6800000.0
2931,World,Historical,EV stock,Cars,BEV,2021,Vehicles,11000000.0
2944,World,Historical,EV stock,Cars,BEV,2022,Vehicles,18000000.0
