RE or Non-RE,Group Technology,Year,Sum of Electricity Installed Capacity (MW),Sum of Electricity Generation (GWh),Sum of Heat Generation (TJ),Sum of Public Flows (2021 USD M),Sum of SDG 7a1 Intl. Public Flows (2021 USD M)
Total Renewable,Solar energy,2000,1215.68,1312.127,24,23.63492315,20.16
Total Renewable,Solar energy,2001,1465.532,1677.517,27,352.7023878,352.66
Total Renewable,Solar energy,2002,1810.799,1949.739,37,127.6685056,112.23
Total Renewable,Solar energy,2003,2334.37,2366.458,51,68.22219135,68.08
Total Renewable,Solar energy,2004,3418.521,3059.681,51,17.27585852,15.68
Total Renewable,Solar energy,2005,4925.005,4375.427,55,249.9676857,277.19
Total Renewable,Solar energy,2006,6475.283,5988.64,49,69.54839285,69.55
Total Renewable,Solar energy,2007,8947.762,8072.324,62,15.38328645,26.94
Total Renewable,Solar energy,2008,15215.49,12743.465,69,373.2665064,359.37
Total Renewable,Solar energy,2009,23536.863,20936.058,164.2,1863.709493,325.91
Total Renewable,Solar energy,2010,41530.928,33748.994,206.299,2162.207409,452.73
Total Renewable,Solar energy,2011,72820.001,65600.552,297.774,2019.730517,1246.17
Total Renewable,Solar energy,2012,103027.934,101650.801,454.587,4202.500572,1717.46
Total Renewable,Solar energy,2013,140208.528,137356.608,579.536,3100.979512,2345.05
Total Renewable,Solar energy,2014,179631.529,192590.233,829.65,3985.114646,3487.77
Total Renewable,Solar energy,2015,228073.756,252257.792,1062.051,2748.599746,2417.99
Total Renewable,Solar energy,2016,300137.74,324785.594,1493.284,11512.66989,10825.7
Total Renewable,Solar energy,2017,395846.193,437503.947,1837.712,4768.448273,4639.27
Total Renewable,Solar energy,2018,491980.249,560024.696,2266.768,4410.768934,3996.87
Total Renewable,Solar energy,2019,595019.627,689891.195,2461.753,3451.866521,2734.97
Total Renewable,Solar energy,2020,726221.354,835673.957,2842.843,3647.382355,2847.22
Total Renewable,Solar energy,2021,870634.958,1030559.347,2489.712,6895.841034,5226.33
Total Renewable,Solar energy,2022,1070843.39,1294470.192,2938.882,7867.582035,5267.38
Total Renewable,Solar energy,2023,1418008.166,,,,
