https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,,,,,,,
region,category,parameter,mode,powertrain,year,unit,value
Africa,Historical,EV sales,Cars,BEV,2013,Vehicles,34
Africa,Historical,EV stock,Cars,BEV,2013,Vehicles,34
Africa,Historical,EV sales share,Cars,EV,2013,percent,0.0019
Africa,Historical,EV stock share,Cars,EV,2013,percent,0.00014
Africa,Historical,EV stock share,Cars,EV,2014,percent,0.00019
Africa,Historical,EV sales share,Cars,EV,2014,percent,0.00078
Africa,Historical,EV stock,Cars,BEV,2014,Vehicles,48
Africa,Historical,EV sales,Cars,BEV,2014,Vehicles,14
Africa,Historical,EV stock,Cars,PHEV,2014,Vehicles,1
Africa,Historical,EV sales,Cars,PHEV,2014,Vehicles,1
Africa,Historical,EV sales,Cars,PHEV,2015,Vehicles,120
Africa,Historical,EV stock,Cars,PHEV,2015,Vehicles,120
Africa,Historical,EV sales,Cars,BEV,2015,Vehicles,120
Africa,Historical,EV stock,Cars,BEV,2015,Vehicles,160
Africa,Historical,EV stock share,Cars,EV,2015,percent,0.001
Africa,Historical,EV sales share,Cars,EV,2015,percent,0.013000000268220901
Africa,Historical,EV sales share,Cars,EV,2016,percent,0.022
Africa,Historical,EV stock share,Cars,EV,2016,percent,0.0023
Africa,Historical,EV stock,Cars,BEV,2016,Vehicles,260
Africa,Historical,EV sales,Cars,BEV,2016,Vehicles,100
Africa,Historical,EV stock,Cars,PHEV,2016,Vehicles,400
Africa,Historical,EV sales,Cars,PHEV,2016,Vehicles,280
Africa,Historical,EV sales,Cars,PHEV,2017,Vehicles,130
Africa,Historical,EV stock,Cars,PHEV,2017,Vehicles,530
Africa,Historical,EV sales,Cars,BEV,2017,Vehicles,72
Africa,Historical,EV stock,Cars,BEV,2017,Vehicles,340
Africa,Historical,EV stock share,Cars,EV,2017,percent,0.0029
Africa,Historical,EV sales share,Cars,EV,2017,percent,0.012000000104308128
Africa,Historical,EV sales share,Cars,EV,2018,percent,0.013000000268220901
Africa,Historical,EV stock share,Cars,EV,2018,percent,0.0036
Africa,Historical,EV stock,Cars,BEV,2018,Vehicles,440
Africa,Historical,EV sales,Cars,BEV,2018,Vehicles,100
Africa,Historical,EV stock,Cars,PHEV,2018,Vehicles,660
Africa,Historical,EV sales,Cars,PHEV,2018,Vehicles,130
Africa,Historical,EV sales,Cars,PHEV,2019,Vehicles,160
Africa,Historical,EV stock,Cars,PHEV,2019,Vehicles,820
Africa,Historical,EV sales,Cars,BEV,2019,Vehicles,290
Africa,Historical,EV stock,Cars,BEV,2019,Vehicles,730
Africa,Historical,EV stock share,Cars,EV,2019,percent,0.0048
Africa,Historical,EV sales share,Cars,EV,2019,percent,0.026000000536441803
Africa,Historical,EV sales share,Cars,EV,2020,percent,0.028999999165534973
Africa,Historical,EV stock share,Cars,EV,2020,percent,0.0059
Africa,Historical,EV stock,Cars,BEV,2020,Vehicles,940
Africa,Historical,EV sales,Cars,BEV,2020,Vehicles,220
Africa,Historical,EV stock,Cars,PHEV,2020,Vehicles,1000
Africa,Historical,EV sales,Cars,PHEV,2020,Vehicles,210
Africa,Historical,EV sales,Cars,PHEV,2021,Vehicles,170
Africa,Historical,EV stock,Cars,PHEV,2021,Vehicles,1200
Africa,Historical,EV sales,Cars,BEV,2021,Vehicles,900
Africa,Historical,EV stock,Cars,BEV,2021,Vehicles,1800
Africa,Historical,EV sales,Cars,FCEV,2021,Vehicles,1
Africa,Historical,EV stock,Cars,FCEV,2021,Vehicles,1
Africa,Historical,EV stock share,Cars,EV,2021,percent,0.0089
Africa,Historical,EV sales share,Cars,EV,2021,percent,0.061999999
Africa,Historical,EV sales share,Cars,EV,2022,percent,0.15000000596046448
Africa,Historical,EV stock share,Cars,EV,2022,percent,0.014999999664723873
Africa,Historical,EV stock,Cars,FCEV,2022,Vehicles,3
Africa,Historical,EV sales,Cars,FCEV,2022,Vehicles,2
Africa,Historical,EV stock,Cars,BEV,2022,Vehicles,3900
Africa,Historical,EV sales,Cars,BEV,2022,Vehicles,2100
Africa,Historical,EV stock,Cars,PHEV,2022,Vehicles,1500
Africa,Historical,EV sales,Cars,PHEV,2022,Vehicles,460
Africa,Historical,EV sales,Cars,PHEV,2023,Vehicles,690
Africa,Historical,EV stock,Cars,PHEV,2023,Vehicles,2300
Africa,Historical,EV sales,Cars,BEV,2023,Vehicles,3100
Africa,Historical,EV stock,Cars,BEV,2023,Vehicles,7000
Africa,Historical,EV stock,Cars,FCEV,2023,Vehicles,3
Africa,Historical,EV stock share,Cars,EV,2023,percent,0.026000000536441803
Africa,Historical,EV sales share,Cars,EV,2023,percent,0.23000000417232513
Africa,Historical,EV sales share,Cars,EV,2024,percent,0.6200000047683716
Africa,Historical,EV stock share,Cars,EV,2024,percent,0.054000001
Africa,Historical,EV stock,Cars,FCEV,2024,Vehicles,3
Africa,Historical,EV stock,Cars,BEV,2024,Vehicles,15000
Africa,Historical,EV sales,Cars,BEV,2024,Vehicles,8400
Africa,Historical,EV stock,Cars,PHEV,2024,Vehicles,4200
Africa,Historical,EV sales,Cars,PHEV,2024,Vehicles,2100
Asia Pacific,Historical,EV sales,Cars,BEV,2010,Vehicles,4100
Asia Pacific,Historical,EV stock,Cars,BEV,2010,Vehicles,6000
Asia Pacific,Historical,EV sales,Cars,FCEV,2010,Vehicles,2
Asia Pacific,Historical,EV stock,Cars,PHEV,2010,Vehicles,340
Asia Pacific,Historical,EV sales,Cars,PHEV,2010,Vehicles,340
Asia Pacific,Historical,EV sales share,Cars,EV,2010,percent,0.017000000923871994
Asia Pacific,Historical,EV stock share,Cars,EV,2010,percent,0.0031
