region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock,Cars,BEV,2010,Vehicles,1600.0
China,Historical,EV stock,Cars,BEV,2011,Vehicles,6300.0
China,Historical,EV stock,Cars,BEV,2012,Vehicles,16000.0
China,Historical,EV stock,Cars,BEV,2013,Vehicles,31000.0
China,Historical,EV stock,Cars,BEV,2014,Vehicles,59000.0
China,Historical,EV stock,Cars,BEV,2015,Vehicles,210000.0
China,Historical,EV stock,Cars,BEV,2016,Vehicles,460000.0
China,Historical,EV stock,Cars,BEV,2017,Vehicles,930000.0
China,Historical,EV stock,Cars,BEV,2018,Vehicles,1700000.0
China,Historical,EV stock,Cars,BEV,2019,Vehicles,2600000.0
China,Historical,EV stock,Cars,BEV,2020,Vehicles,3500000.0
China,Historical,EV stock,Cars,BEV,2021,Vehicles,6200000.0
China,Historical,EV stock,Cars,BEV,2022,Vehicles,11000000.0
China,Historical,EV stock,Cars,BEV,2023,Vehicles,16000000.0
China,Historical,EV stock,Cars,BEV,2024,Vehicles,23000000.0
