region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV stock,Cars,PHEV,2010,Vehicles,400.0
World,Historical,EV stock,Cars,FCEV,2010,Vehicles,26.0
World,Historical,EV stock,Cars,BEV,2010,Vehicles,20000.0
World,Historical,EV stock,Cars,BEV,2011,Vehicles,58000.0
World,Historical,EV stock,Cars,FCEV,2011,Vehicles,26.0
World,Historical,EV stock,Cars,PHEV,2011,Vehicles,9500.0
World,Historical,EV stock,Cars,PHEV,2012,Vehicles,70000.0
World,Historical,EV stock,Cars,FCEV,2012,Vehicles,26.0
World,Historical,EV stock,Cars,BEV,2012,Vehicles,120000.0
World,Historical,EV stock,Cars,BEV,2013,Vehicles,230000.0
World,Historical,EV stock,Cars,FCEV,2013,Vehicles,27.0
World,Historical,EV stock,Cars,PHEV,2013,Vehicles,160000.0
World,Historical,EV stock,Cars,PHEV,2014,Vehicles,300000.0
World,Historical,EV stock,Cars,FCEV,2014,Vehicles,87.0
World,Historical,EV stock,Cars,BEV,2014,Vehicles,410000.0
World,Historical,EV stock,Cars,BEV,2015,Vehicles,730000.0
World,Historical,EV stock,Cars,FCEV,2015,Vehicles,810.0
World,Historical,EV stock,Cars,PHEV,2015,Vehicles,520000.0
World,Historical,EV stock,Cars,PHEV,2016,Vehicles,800000.0
World,Historical,EV stock,Cars,FCEV,2016,Vehicles,3100.0
World,Historical,EV stock,Cars,BEV,2016,Vehicles,1200000.0
World,Historical,EV stock,Cars,BEV,2017,Vehicles,1900000.0
World,Historical,EV stock,Cars,FCEV,2017,Vehicles,6800.0
World,Historical,EV stock,Cars,PHEV,2017,Vehicles,1200000.0
World,Historical,EV stock,Cars,PHEV,2018,Vehicles,1900000.0
World,Historical,EV stock,Cars,FCEV,2018,Vehicles,11000.0
World,Historical,EV stock,Cars,BEV,2018,Vehicles,3200000.0
World,Historical,EV stock,Cars,BEV,2019,Vehicles,4800000.0
World,Historical,EV stock,Cars,FCEV,2019,Vehicles,19000.0
World,Historical,EV stock,Cars,PHEV,2019,Vehicles,2400000.0
World,Historical,EV stock,Cars,PHEV,2020,Vehicles,3400000.0
World,Historical,EV stock,Cars,FCEV,2020,Vehicles,26000.0
World,Historical,EV stock,Cars,BEV,2020,Vehicles,6800000.0
World,Historical,EV stock,Cars,BEV,2021,Vehicles,11000000.0
World,Historical,EV stock,Cars,FCEV,2021,Vehicles,42000.0
World,Historical,EV stock,Cars,PHEV,2021,Vehicles,5300000.0
World,Historical,EV stock,Cars,PHEV,2022,Vehicles,8000000.0
World,Historical,EV stock,Cars,FCEV,2022,Vehicles,57000.0
World,Historical,EV stock,Cars,BEV,2022,Vehicles,18000000.0
World,Historical,EV stock,Cars,BEV,2023,Vehicles,28000000.0
World,Historical,EV stock,Cars,FCEV,2023,Vehicles,66000.0
World,Historical,EV stock,Cars,PHEV,2023,Vehicles,12000000.0
World,Historical,EV stock,Cars,PHEV,2024,Vehicles,19000000.0
World,Historical,EV stock,Cars,FCEV,2024,Vehicles,70000.0
World,Historical,EV stock,Cars,BEV,2024,Vehicles,39000000.0
