https://www.stats.govt.nz/indicators/nitrogen-and-phosphorus-in-fertilisers,,
Elemental weight (tonnes). Superphosphate fertilizer is 9% P by weight.,,
Nitrogen and phosphorus in fertiliser 1990–2015,,
Year,Nitrogen,Phosphorus
1990,59000,110000
1991,62000,94000
1992,70000,118000
1993,104000,140000
1994,124000,169000
1995,151000,170000
1996,154000,171000
1997,143000,170000
1998,155000,167000
1999,167000,167000
2000,189000,177000
2001,248000,201000
2002,279000,211000
2003,323000,208000
2004,348000,218000
2005,355000,219000
2006,310000,187000
2007,312000,177000
2008,328000,170000
2009,297000,114000
2010,341000,140000
2011,367000,147000
2012,363000,149000
2013,370000,133000
2014,405000,156000
2015,429000,155000
